Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,61.590000,61.709999,59.730000,60.139999,58.357964,21286200
2021-01-05,60.349998,62.000000,60.020000,61.700001,59.871738,20213100
2021-01-06,64.489998,66.599998,63.950001,65.250000,63.316547,38106600
2021-01-07,67.070000,68.099998,66.010002,66.019997,64.063728,24161000
2021-01-08,66.209999,66.209999,64.339996,65.370003,63.432991,20747800
2021-01-11,64.580002,66.620003,64.330002,66.440002,64.471291,20454000
2021-01-12,67.489998,67.739998,66.239998,66.669998,64.694466,20162800
2021-01-13,67.000000,67.220001,65.989998,66.860001,64.878838,18541900
2021-01-14,67.519997,69.430000,67.169998,69.010002,66.965134,29108900
2021-01-15,67.370003,67.650002,64.089996,64.230003,62.326771,38295300
2021-01-19,65.199997,65.250000,62.910000,63.689999,61.802769,27022400
2021-01-20,63.750000,63.820000,62.840000,63.250000,61.375809,17448900
2021-01-21,63.209999,63.340000,61.740002,61.869999,60.036697,19394600
2021-01-22,60.939999,61.830002,60.189999,61.330002,59.512703,24740400
2021-01-25,60.669998,60.770000,59.169998,60.560001,58.765518,25754100
2021-01-26,61.200001,61.240002,60.090000,60.910000,59.105145,18760900
2021-01-27,59.900002,60.000000,58.529999,59.400002,57.639893,24657200
2021-01-28,60.150002,61.060001,59.630001,60.340000,58.552032,19986200
2021-01-29,59.959999,60.200001,57.689999,57.990002,56.751343,27078300
2021-02-01,58.660000,58.669998,57.400002,58.430000,57.181938,16073000
2021-02-02,59.599998,60.250000,59.299999,59.580002,58.307377,18693400
2021-02-03,59.410000,61.150002,59.320000,61.099998,59.794910,18730600
2021-02-04,61.570000,62.630001,61.419998,62.410000,61.076927,16612900
2021-02-05,62.990002,63.080002,62.070000,62.580002,61.243298,13493800
2021-02-08,63.090000,63.709999,62.849998,63.650002,62.290443,15055400
2021-02-09,63.700001,63.869999,62.520000,63.119999,61.771759,12336900
2021-02-10,63.480000,63.990002,62.980000,63.619999,62.261082,12680700
2021-02-11,63.599998,63.869999,61.930000,63.200001,61.850056,12108300
2021-02-12,62.919998,64.019997,62.889999,63.630001,62.270870,12174600
2021-02-16,64.919998,65.070000,63.840000,64.120003,62.750404,19065400
2021-02-17,63.799999,64.910004,63.450001,64.760002,63.376736,20279600
2021-02-18,64.300003,64.550003,63.090000,63.480000,62.124069,14833200
2021-02-19,64.160004,65.989998,64.050003,65.779999,64.374939,20456200
2021-02-22,65.400002,66.900002,65.290001,65.519997,64.120491,23120700
2021-02-23,65.589996,66.919998,64.860001,66.739998,65.314438,26712100
2021-02-24,67.169998,68.680000,67.000000,68.599998,67.134705,20752900
2021-02-25,69.040001,69.379997,66.889999,67.410004,65.970131,25206100
2021-02-26,66.779999,67.599998,65.540001,65.879997,64.472809,24182200
2021-03-01,68.489998,69.989998,67.980003,69.540001,68.054634,28054600
2021-03-02,69.190002,69.989998,68.849998,68.910004,67.438095,19200600
2021-03-03,69.489998,71.489998,69.300003,70.379997,68.876686,25157600
2021-03-04,70.180000,71.779999,67.889999,69.809998,68.318863,28518400
2021-03-05,70.839996,71.269997,68.440002,70.230003,68.729897,25406800
2021-03-08,71.070000,72.839996,70.860001,72.220001,70.677399,27351100
2021-03-09,70.910004,72.489998,70.040001,70.989998,69.473656,24194900
2021-03-10,71.290001,73.879997,71.199997,73.750000,72.174706,21331100
2021-03-11,73.480003,74.279999,72.550003,73.309998,71.744102,17499200
2021-03-12,74.419998,75.250000,74.099998,75.180000,73.574165,17210600
2021-03-15,75.510002,75.589996,73.279999,74.220001,72.634666,18918100
2021-03-16,73.519997,73.629997,72.320000,73.330002,71.763680,15834800
2021-03-17,73.930000,74.339996,72.739998,73.599998,72.027916,19337500
2021-03-18,74.430000,76.129997,73.449997,73.839996,72.262787,23857900
2021-03-19,73.199997,73.580002,71.519997,73.010002,71.450516,24079400
2021-03-22,72.290001,72.599998,71.639999,71.959999,70.422935,15040000
2021-03-23,71.300003,72.639999,70.510002,70.910004,69.395370,16238700
2021-03-24,71.690002,72.480003,70.059998,70.080002,68.583099,17089600
2021-03-25,69.830002,71.919998,69.150002,71.720001,70.188065,18357300
2021-03-26,72.570000,73.239998,72.000000,73.019997,71.460297,15716600
2021-03-29,71.550003,72.150002,70.370003,71.580002,70.051056,17822300
2021-03-30,72.000000,73.220001,72.000000,72.959999,71.401588,15615900
2021-03-31,72.709999,73.830002,72.459999,72.750000,71.196068,15224800
