Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,377.429993,381.549988,374.809998,380.149994,376.700226,3322200
2021-01-05,378.859985,380.209991,375.250000,375.739990,372.330261,2748400
2021-01-06,373.820007,375.799988,369.649994,370.019989,366.662140,2661400
2021-01-07,371.010010,371.649994,366.790009,367.920013,364.581238,2849500
2021-01-08,368.119995,370.260010,364.290009,369.940002,366.582947,2599700
2021-01-11,368.579987,371.000000,363.859985,364.010010,360.706696,2562500
2021-01-12,364.000000,365.070007,360.250000,364.200012,360.894958,2387600
2021-01-13,364.369995,368.739990,363.000000,366.950012,363.620026,1968800
2021-01-14,366.000000,366.500000,361.559998,362.350006,359.061768,2363900
2021-01-15,361.059998,364.910004,360.799988,362.160004,358.873505,2340400
2021-01-19,362.359985,362.950012,352.440002,354.470001,351.253296,4533800
2021-01-20,354.390015,361.899994,353.410004,361.299988,358.021301,2767200
2021-01-21,361.299988,363.989990,359.940002,362.799988,359.507690,2121600
2021-01-22,363.200012,364.630005,359.850006,362.299988,359.012207,1960300
2021-01-25,360.859985,361.959991,356.820007,361.880005,358.596008,2735900
2021-01-26,360.200012,365.899994,358.880005,364.980011,361.667938,1807000
2021-01-27,362.989990,365.799988,354.850006,356.390015,353.155884,3120800
2021-01-28,356.850006,361.609985,356.070007,357.059998,353.819824,2251100
2021-01-29,354.750000,356.290009,351.880005,352.429993,349.231750,2598700
2021-02-01,351.209991,352.790009,349.209991,350.519989,347.339081,2371200
2021-02-02,351.760010,357.700012,350.720001,355.579987,352.353210,1905000
2021-02-03,356.230011,357.529999,353.209991,355.209991,351.986572,1759800
2021-02-04,356.709991,358.380005,353.850006,355.850006,353.317017,3411600
2021-02-05,356.549988,356.850006,354.100006,355.170013,352.641876,2165600
2021-02-08,356.570007,360.040009,355.570007,359.829987,357.268677,2520700
2021-02-09,360.040009,361.670013,358.299988,359.559998,357.000641,2154000
2021-02-10,361.000000,361.000000,355.119995,356.119995,353.585083,2162400
2021-02-11,355.730011,356.500000,351.390015,352.200012,349.692993,2088400
2021-02-12,351.989990,352.980011,350.100006,352.750000,350.239075,2096600
2021-02-16,353.079987,355.359985,352.040009,354.000000,351.480194,1829000
2021-02-17,353.109985,358.170013,351.910004,358.040009,355.491455,2143000
2021-02-18,352.279999,358.200012,352.279999,356.920013,354.379425,1914900
2021-02-19,356.690002,357.929993,354.579987,354.769989,352.244720,1839400
2021-02-22,352.750000,353.290009,348.820007,350.209991,347.717194,2215600
2021-02-23,349.799988,351.000000,342.029999,342.149994,339.714508,3692600
2021-02-24,341.790009,342.500000,337.890015,340.700012,338.274902,3305800
2021-02-25,340.850006,343.000000,333.350006,333.899994,331.523254,3618100
2021-02-26,335.510010,335.890015,330.940002,331.000000,328.643921,3362200
2021-03-01,335.209991,336.000000,331.359985,331.769989,329.408417,4653200
